,Unnamed: 0,airline_sentiment,text,review_len
4478,5716,0,"@SouthwestAir i live in the southwest, Imagine Dragons is my favorite band, and i met my 2bestfriends thanks to them. it would be amazing +",25
4486,5728,0,@SouthwestAir... I love you. Air travel doesn't get easier.,9
4487,5729,0,@SouthwestAir Received awesome phone help from Jim today. Helped me switch around flights booked with points.,16
4495,5740,0,@SouthwestAir Thank you! I can't wait either :),8
4497,5742,0,@southwestair SWEET!!! Glad to hear it. I'll keep you guys in mind next time!,14
4500,5745,0,@SouthwestAir your employees at BWI have been amazing!,8
4501,5746,0,@SouthwestAir thanks for responding.,4
4505,5752,0,@SouthwestAir when are you releasing your flights for September? Just found out you fly direct lbb to las! So excited! #tripofalifetime,21
4507,5754,0,@SouthwestAir Gracias... appreciate that!,4
4508,5755,0,@SouthwestAir was fantastic! That's the best flight service I've ever had.,11
4512,5760,0,"@SouthwestAir Flying with you in about 2 weeks, bringing blankets bc it's freezing!😜",13
4517,5766,0,@SouthwestAir LOVE IMAGINE DRAGONS  SO MUCH I EOULD DIE IF I GOT TICKETS,14
4518,5768,0,"@SouthwestAir I love imagine dragons o flipping much, pls #DestinationDragons",10
4519,5769,0,@SouthwestAir I would love to go to the Atlanta show ♥️,11
4520,5770,0,@SouthwestAir I WOULD DO ANYTHING FOR tickets to the VEGAS... ANYTHING. I love imagine dragons so much!!,17
4523,5773,0,@SouthwestAir this would be an awesome experience #DestinationDragons,8
4524,5774,0,@SouthwestAir Hi! I ❤️ your company and fly all the time. I was wondering if you could please share this link &amp; read! http://t.co/lO6LghPcdU,24
4531,5783,0,@SouthwestAir would be cool if the best airlines company hooked me up with @Imaginedragons tickets for Vegas ;),18
4532,5784,0,"@SouthwestAir appreciate the reply, hopefully those LAX agents get the memo. Cheers!",12
4537,5793,0,@SouthwestAir a nice trip back home after a looong vaca 😊🌴 http://t.co/9TRvfnCedL,12
4539,5795,0,@SouthwestAir It was the usually excellent SWA flight!,8
4547,5804,0,@SouthwestAir Jason (108639) at Gate #3 in SAN made my afternoon!!! #southwestairlines #stellarservice #thanks!,14
4548,5805,0,@SouthwestAir thanks for adding straight flights from Columbus to Oakland!,10
4549,5806,0,@SouthwestAir  I look forward to those direct flights to California to see my family more often. Thank you @MichaelBColeman #byebyeusairline,21
4553,5811,0,@SouthwestAir Your crew on 4028 tonight was outstanding. God bless them and the medically trained passengers on board.,18
4556,5815,0,@SouthwestAir...give the crew of SWA 4007 a high five from this AV-8B guy for its nice XW landing into @bostonlogan. Nicely done!,22
4560,5819,0,"@SouthwestAir have to be honest, didn't expect a fast response, thank you!  Off to #Chiberia we go!",18
4561,5820,0,@SouthwestAir Making Miracles again! The customer service department gave me by far one of the friendliest phone calls ever. #wheelsup,20
4562,5821,0,@SouthwestAir Already signed up!  Thanks!  Looking forward to trying the Southwest experience.,14
4566,5826,0,"“@SouthwestAir: @AMiltx3 You are forgiven most loved Customer,,,it's as if you never left :) ^LL” that's why you're bae ❤️",20
4568,5828,0,"@SouthwestAir you only hear about the bad things. Flying the last to weekends, the flights and crews were awesome. Thank you. 👍👍",22
4569,5829,0,"@SouthwestAir Sorry to spam, it would just be so awesome to see @Imaginedragons in Vegas. Your help would be absolutely amazing.",21
4572,5836,0,@SouthwestAir @MichaelBColeman - thanks for making new direct flight to San Francisco.,12
4573,5837,0,@SouthwestAir the crew of 4649 has been great to us today. Traveling from Ft. Lauderdale to Louisville with 2 kids 7 and under. Thanks!✈️✈️,24
4576,5845,0,"@SouthwestAir nvm, gate said they're holding connections. Thanks for quick response!",11
4579,5849,0,@SouthwestAir looking forward to the beats music available on my flight today. That's pretty cool.,15
4580,5850,0,@SouthwestAir has some of the best airfare prices! Gotta LUV them :),12
4582,5852,0,"@SouthwestAir thank you, will do",5
4585,5858,0,@SouthwestAir :( Thanks for the opportunity...,6
4589,5862,0,"@SouthwestAir truly the best in #customerservice.  If something goes wrong, no matter how big or small the issue was, they fix it. Thank you",25
4590,5863,0,@SouthwestAir YOU ARE THE EASIEST AIRLINE TO DEAL WITH.. I LOVEEEE YOU SO MUCH,14
4592,5865,0,@SouthwestAir thank you!,3
4593,5867,0,"@SouthwestAir ok, gotcha! ✈️😃👍",4
4595,5869,0,"@SouthwestAir I'm excited too, but perhaps you could scale your excitement back by a few weeks...",16
4596,5873,0,@SouthwestAir me &amp; @sammi_jon3s are best friends because of @Imaginedragons. Any chance we could get tickets to #DestinationDragons ?,19
4597,5874,0,@SouthwestAir thank you! ❤️❤️❤️ you guys!,6
4599,5878,0,"@SouthwestAir CEO Gary Kelly, ""We are America's most loved and most flown airline!"" #SouthwestRally #BWI #bestemployees #swaculture #swapic",18
4602,5881,0,@SouthwestAir @DreSparkles Thank you! I finally made it to my destination,11
4603,5882,0,@SouthwestAir Luvin me some flights today!! Don't change!!  And please add Paypal as payment option!!!,16
4607,5889,0,@SouthwestAir makes flying for @UNO_Baseball fun! Flight crew just led the plane in singing happy birthday to one of our guys! #LuvInTheAir,22
4608,5891,0,@SouthwestAir I just received your birthday card.  It was amazing and made me smile with joy.  Nice videos.  Thanks.,22
4609,5892,0,Thanks @SouthwestAir ! #heartlanta,4
4610,5894,0,"@SouthwestAir thanks for the b day concert I watched them all (and noticed the fist bump/high five at the end of the ""rock"" version)",24
4612,5897,0,@SouthwestAir My boyfriend and I have LOVED @Imaginedragons since 2009 &amp; it would be so awesome to go to Vegas event. Any way you can help?,26
4620,5909,0,@SouthwestAir Thank you. Great tool,5
4621,5910,0,@SouthwestAir you should know the crew today on flight #1071 AUS to PDX was awesome! #SWA,16
4627,5917,0,@SouthwestAir I was just sitting here talking at a tech conference about how awesome you guys are and this rolled across. Luv you guys! #LOL,25
4628,5922,0,"@SouthwestAir thanks for your attention, I've been flying southwest for 3 years and haven't had this issue in the past.",20
4633,5931,0,@SouthwestAir #DestinationDragons @Imaginedragons I'm a HUGE FAN! I would love tix to your show!,14
4635,5934,0,@SouthwestAir Scott is the best!!! Thank yo from the bottom of my heart💕#DestinationDragons with friends in LA @HayleyMad see u Friday,21
4636,5937,0,@SouthwestAir now flying non stop CMH-OAK has me daydreaming about a trip to the bay...especially in this weather. #OhioProbz,19
4640,5941,0,@SouthwestAir yeehaw. You found us another plane.  Thx for listening to me vent.,14
4648,5949,0,@SouthwestAir This is unbelievable... Thank you so much! #DestinationDragons,9
4649,5950,0,@SouthwestAir AMAZING c/s today by SW thank you SO very much. This is the reason we fly you #southwest,19
4650,5951,0,@SouthwestAir is the best airline out there no one is better than them #OneLove #Southwest #bestairline,16
4651,5952,0,@SouthwestAir great cabin and flight crew this morning on #578. A great smile and happy staff are signs of a happy company. Thanks.,23
4652,5953,0,@SouthwestAir thank you for always going above and beyond with your customer service!!!!!! #favoriteairline #luvforSW #southwestAir,16
4654,5956,0,"@SouthwestAir great news for @PortColumbusCMH today. Finally, Columbus' top unserved market will have flights.",14
4656,5958,0,"@SouthwestAir is really stepping up their ""service""🐩 http://t.co/VQTyza6Mzu",8
4661,5964,0,"@SouthwestAir Again, please accept my apologies for my lame, childish tweet. You didn't deserve that, &amp; I remain a LOYAL SW customer!",22
4662,5965,0,"@SouthwestAir I owe you an apology. My tweet was out of frustration, not constructive criticism. I'm a SW fan &amp; LOVE your service!",23
4663,5967,0,@SouthwestAir ..just booked trip to Cancun...❤️ no baggage fees..but need to have more flight time options,16
4664,5968,0,@SouthwestAir thank you!!! #bringbacktheluvtordu #miami #directflights,6
4666,5972,0,@SouthwestAir That would be great. Thank you! I'll send it over when you follow.,14
4672,5981,0,@SouthwestAir @FortuneMagazine Love SW forever😃💕😍⤴⤴,5
4674,5985,0,"@SouthwestAir SW rocks, thanks for the reply and the follow. Rebooked earlier flight!",13
4675,5986,0,@SouthwestAir @FortuneMagazine Congrats!,3
4676,5987,0,@SouthwestAir @FortuneMagazine well deserved!,4
4677,5989,0,@SouthwestAir @FortuneMagazine I always tell everyone to fly Southwest! Congratulations!!!,10
4678,5990,0,@SouthwestAir @FortuneMagazine friendliest employees,4
4680,5994,0,@SouthwestAir @FortuneMagazine Superb choice - SWA. I am a raving fan. They even take stress out of weather-reLate Flightd glitches!  #custexp,22
4681,5996,0,@SouthwestAir listening center is open seating just like on their planes. #RaganDisney,12
4686,6002,0,@SouthwestAir oh my god thank you so much!!! I just sent you a DM,14
4688,6004,0,@SouthwestAir Thank you for the prompt response. I will email Late Flightr today.,13
4689,6005,0,"THANKS to @SouthwestAir , I get to go to the #DestinationDragons @Imaginedragons show this weekend in UTAH @VelourLive  !!! #ThankYou",21
4690,6009,0,"@SouthwestAir @FortuneMagazine Love u Southwest. You've always been helpful. When I traveled a lot w/my son, infant/toddler, U were great!",20
4691,6010,0,@SouthwestAir @FortuneMagazine Love flying Southwest! Best flight attendants ever!,9
4694,6016,0,"@SouthwestAir @FortuneMagazine I DO like your airlines, congrats! : )",10
4695,6017,0,@SouthwestAir Hi Guys good morning how are you doing,9
4697,6019,0,@SouthwestAir Southwest is definitely my favorite airline to fly! :D,10
4698,6020,0,@SouthwestAir Congratulations!,2
4700,6022,0,@SouthwestAir guess where Ashley is. She's doing a great job presenting. #ragandisney http://t.co/5ZNMwxDI9U,13
4702,6027,0,"@SouthwestAir thank you for integrating with Passbook on iOS, it all works so much better now!!!",16
4707,6037,0,@SouthwestAir my birthday is during #DestinationDragons and im a huge fan- anyway I can get tickets?,16
4708,6038,0,"@SouthwestAir - thanks to the agent boarding 1137, ATL-AUS. Left my wallet on the inbound. He found it for me!",20
4710,6040,0,@SouthwestAir iPhone app now has passbook support! Whoot! It's the little things in life... 😜,15
4713,6046,0,"@SouthwestAir aww thanks!! Other than that, love it!",8
4715,6048,0,@SouthwestAir we're here at MCO. Thanks.,6
4716,6050,0,@SouthwestAir the new logo is going to look amazing on the airplanes,12
4717,6054,0,"I appreciate the reply. RT @SouthwestAir: @luxclark We’re so sorry to keep you waiting, Laura. An Agent will be with you shortly...^CB",22
4718,6056,0,@SouthwestAir I love you guys! Had to take a few other airlines this week...makes me love and appreciate y'all so much more! #onlywaytofly,23
4724,6064,0,"@SouthwestAir DM sent! Thanks so much for responding! Your response was so timely, I missed it!",16
4726,6067,0,@SouthwestAir Thank you for having flights going out of Nashville! You guys Rock! #DisneyPrincessHalfMarathon #girlsweekend #bffs,16
4728,6069,0,@SouthwestAir Thx Ops Agt Rich Westagard n Flight Att. Nancy @ DEN Airport.Held flight 1027 n even saved seat 4 Bus Select #CustomersFirst!,23
4729,6070,0,@SouthwestAir y'all the real MVP with these prices...,8
4731,6078,0,@SouthwestAir love bridesmaid dancing Can't wait for you to fly into puerto Vallarta and kick united ass!,17
4732,6080,0,@SouthwestAir I ❤️ you! The only airline that understands us military families and our unpredictable changes. Pound it 👊,19
4733,6081,0,@SouthwestAir can i get tiks for #DestinationDragons omg id love to! Plz 😱❤️im dying,14
4737,6090,0,Looking forward to using Passbook when I fly  @SouthwestAir in a few weeks!,14
4738,6094,0,@SouthwestAir Fantastic! Thank you!,4
4740,6096,0,@SouthwestAir - Great flight from Phoenix to Dallas tonight!Great service and ON TIME! Makes @timieyancey very happy! http://t.co/TkVCMhbPim,18
4742,6098,0,@SouthwestAir you guys are so clever 😃 http://t.co/qn5odUGFqK,8
4744,6100,0,@southwestair Amazing view on the approach to LAX tonight. http://t.co/a68d5fULmH,10
4746,6102,0,"@SouthwestAir, I really appreciate you all's #BHM commercial that aired today during @BET's #BookofNegroes",14
4750,6111,0,"@SouthwestAir Thanks for replying, I sen't my conf #! I love aviation and Southwest and all I wanted for my 18th was to fly SWA for the day!",28
4753,6114,0,@southwestair thanks for taking it up a notch!! leinenkugels #craftbeer #goodflight @ Norfolk… http://t.co/TgSLjjN6g0,14
4755,6117,0,"@SouthwestAir thank u for not leaving me 
@me nice job running thru the airport to catch your connecting flight",19
4757,6119,0,@SouthwestAir thanks so much for making my night 😀 cannot wait for my trip next week! http://t.co/NbZ45jCd1r,17
4760,6123,0,@SouthwestAir filing it now. Thank you for your response.,9
4761,6126,0,@SouthwestAir One heck of an airline http://t.co/CyoOnZfTdC,7
4764,6131,0,"@SouthwestAir woohoo that just made my day. I looked and just couldn't find that, thank you!",16
4766,6134,0,@SouthwestAir just had a great flight #4223 with Damion! He was the best #damionflight4223,14
4770,6139,0,@SouthwestAir Whoa. Thanks and that's what I wanted to hear! Early flight coming up. Thanks for the reply.,18
4771,6143,0,@SouthwestAir thx - fingers crossed they are found.,8
4772,6145,0,@SouthwestAir So far so good! http://t.co/16c9ex79Rk,6
4774,6148,0,@SouthwestAir @Imaginedragons @beatsmusic I'd love to hear them live at @VelourLive @velourlive this saturday! #destinationdragons,15
4775,6149,0,"@SouthwestAir that's why I fly y'all, that personalized service",9
4776,6151,0,"@SouthwestAir @Imaginedragons @beatsmusic well timed tweet, just boarded and will be listening on my way home!",16
4784,6162,0,@SouthwestAir awesome. thank you!,4
4787,6165,0,"@SouthwestAir luckily, the people working the BSO at Chicago Midway have been very attentive and found our bags in Punta Cana.",21
4791,6170,0,@SouthwestAir @ PIT- Gate A1! Big shout out to the lady trying to track him down!,16
4792,6171,0,@SouthwestAir - I just had a great experience with your customer service team. Thank you! #LuvSW A-list,17
4793,6172,0,@SouthwestAir is there a way to know who checked my bag on the curb? She was awesome!!! And want to be sure she gets a high five!,27
4797,6177,0,@SouthwestAir thank you for handling this for me. Glad Southwest cares about what it's flyers think!,16
4798,6178,0,Bingo! “@SouthwestAir: Thank you for bringing this to our attention. We'll be happy to reach out to Noah so we can make this right. ^MR”,25
4800,6184,0,@SouthwestAir love..luv the addition of the passbook option.,8
4801,6185,0,@SouthwestAir thanks for the follow up. So glad to get my bag back.,13
4805,6191,0,@SouthwestAir amazing service by your SW stewardesses! From den to Cun and from CUN to Atl and atl to lax. Thank u!,22
4806,6194,0,@SouthwestAir @love_dragonss lol I'm sorry I'm just seeing this now but LAUREN OH MY GOD AHHHH,16
4809,6197,0,@SouthwestAir once or twice a year. Hard to get vacation time from work sometimes. But love flying with you guys!,20
4810,6198,0,@SouthwestAir JUST GAVE ME TICKETS TO SEE @Imaginedragons  AT @VelourLive ON SATURDAY. I CAN'T EVEN RIGHT NOW HAHA. THANK YOU!!!!,21
4813,6201,0,@SouthwestAir @taylormdowns We share that value in common. :),9
4814,6203,0,@SouthwestAir @karajusto OK we will! Thank you!!!,7
4821,6218,0,@SouthwestAir thanks for the follow up.  I appreciate it.,10
4822,6219,0,@SouthwestAir :arrived in San Juan early. Thanks for a great flight. LUV u!,13
4826,6227,0,"@SouthwestAir thanks, already subscribe and have a RR Account. Had received a promo code last month but has since expired. Any new offers?",23
4827,6228,0,@SouthwestAir thank you kindly.,4
4829,6231,0,@southwestair Great job celebrating #MardiGras2015 .  You own the industry . Another reason I'm nuts for you! http://t.co/8WBzOrRn3C,19
4831,6237,0,"@SouthwestAir just added #passbook support to their iOS application! Finally, I get to add them to my collection. http://t.co/lEdNoCdQee",19
4832,6239,0,"@SouthwestAir I'm really craving your pretzels, please send me some.",10
4833,6240,0,"@SouthwestAir allows you to change a flight once for no fee, yay! I will always book flights with them. @AmericanAir changes you $200",23
4836,6245,0,@southwestair#SWADiversity We are ready to be inspired! http://t.co/S3EsW5AgUm,8
4841,6253,0,“@SouthwestAir: @kirkwoodtiger Hmmm... how does the Caribbean sound? https://t.co/AAY5avg99b ^LD” WARM THANKS!,12
4842,6257,0,@SouthwestAir - Apology accepted! #customerserviceWIN #itravelalot http://t.co/z5znfwkKWP,7
4844,6259,0,"@SouthwestAir LOVE your TV ad with the girl dancing. Makes me laugh every time, AND now I want to take a trip! :-)",23
4848,6263,0,@SouthwestAir Yes! I did and the bags came straight to my hotel. Thank you ...you guys rock!,17
4849,6266,0,@SouthwestAir thank you!!!,3
4850,6267,0,@SouthwestAir @love_dragonss oh my gosh,5
4854,6271,0,@SouthwestAir @love_dragonss LAUREN IM SCREAMING,5
4855,6272,0,@SouthwestAir @love_dragonss LAUREN OMG IM DEAD IM SO SO HAPPY FOR YOU YES YES,14
4856,6273,0,@SouthwestAir you're the best,4
4858,6276,0,@SouthwestAir @love_dragonss LAUREN OMG BEST AIRLINE EVER,7
4860,6279,0,@SouthwestAir @love_dragonss holy fuckinf shit,5
4861,6280,0,@SouthwestAir @love_dragonss oh my god LAUREN OH MY GOD OH MY GOD,12
4862,6283,0,@SouthwestAir Thank you thank you thank you,7
4869,6298,0,"@SouthwestAir OH MY GOSH SERIOUSLY?! you just made my day, week, year!!! No one will appreciate this more than me!!!",20
4871,6301,0,@SouthwestAir pleasantly surprised to be boarding my flight on time this morning at @Fly_Nashville. Good job!,16
4875,6306,0,@SouthwestAir Awesome!!! Sending now.,4
4879,6311,0,@SouthwestAir Thank you!,3
4881,6313,0,@SouthwestAir Thank you for your time!,6
4898,6334,0,@SouthwestAir Landed in Nashville! Thanks for taking care of us! http://t.co/RYXbPLgMnK,11
4900,6337,0,@SouthwestAir Thanks for the info! Have a good day.,9
4902,6339,0,@SouthwestAir @DeltaPoints hey at least you guys are honest with your customers unlike @Delta,14
4905,6343,0,"@SouthwestAir Oh no worries NL, no disappointments here. Better to have NO lounges than like #Delta who has them but does disappoint!",22
4907,6347,0,@SouthwestAir thanks for getting me back to Nashville. Big thanks to the pilots on the 6:15 out of Baltimore. Flying in snow landing on ice.,25
4908,6348,0,@SouthwestAir just did last night. Thanks for following up. :),10
4909,6349,0,@SouthwestAir for the win as always- saved my day and got me on a direct to Orlando. 🎉🎉🎉,18
4910,6352,0,@SouthwestAir de-icing is important!,4
4911,6353,0,@SouthwestAir THANK YOU for finally making your boarding passes work with passbook,12
4912,6358,0,"@SouthwestAir I love and appreciate the fact that you guys rarely Cancelled Flight flights and are on time, but I need a Cancelled Flightlation this time. 🙏",27
4919,6367,0,"@SouthwestAir neveind, it's been found and on its way. Thanks for making the process so painless",16
4920,6370,0,@SouthwestAir @JohnWayneAir Thank you both very much!!,7
4921,6371,0,@SouthwestAir you are the #Official airlines of #DivadaPouch aka #ThePoopQueen http://t.co/XXY2d2iMnP,11
4922,6373,0,"@SouthwestAir Once again, I was able to change my flight without any fees... oh and the two free checked bags.  Best airline ever.",24
4923,6374,0,@SouthwestAir A wonderfully nice agent in Austin helped us out. Wish I remembered her name to give proper kudos.,19
4924,6375,0,@SouthwestAir hot stewardess flipped me off,6
4930,6383,0,@southwestair Flight 4146 Phi to Den was staffed by a great crew. #freecomedyshow #newlifetimecustomer,14
4934,6387,0,@SouthwestAir has the best customer service!,6
4935,6388,0,"@SouthwestAir big thanks to your team. family emerg, same day ticket, experience was excellent. 1st time flying with yall, not my last!",22
4941,6394,0,"@SouthwestAir - total win!! Happy 7th bday on intercom, chocoLate Flight kisses, and a chance to hand out snacks.Thank you. http://t.co/NKloZcNtto",21
4943,6396,0,@SouthwestAir thanks for your excellent response time and assistance! All set :),12
4946,6399,0,@SouthwestAir can't wait! Thanks for the response!❤️,7
4947,6400,0,@SouthwestAir Got it covered. Thanks!,5
4951,6404,0,@SouthwestAir thank you for your help resolving my problem Shannon ROCKS - even though Rhonda didn't !!,17
4952,6405,0,@SouthwestAir thanks!! We will see what happens!!,7
4955,6409,0,@SouthwestAir Glad it was finally resolved too. Too bad I can't get a free voucher to go with mine so I can have a friend travel next time!,28
4958,6413,0,@SouthwestAir all good now. Going to make it to Boston on time. I'm actually on your wifi right now,19
4960,6415,0,@SouthwestAir thanks for your assistance..you guys ROCK!!💯,7
4963,6418,0,"@SouthwestAir Hey yea I got thru...everything is good now (well, in 7-10 days when the voucher goes through)  Appreciate it!",21
4970,6430,0,@SouthwestAir On my flight today from RSW to GRR I was able to snag a free SW Agent to check for me. It looks like we are (finally) all set.,30
4971,6431,0,"@SouthwestAir Yeah, we figured it out.  Thanks.",8
4972,6432,0,@SouthwestAir thanks for the drink tickets hook up! Can't wait for my first international flight with you to NAS! #pumped,20
4974,6435,0,"@SouthwestAir Hi! I just saw a Black History month commercial on TV &amp; Im excited! In support of this month,will you all grant me 1 free trip",27
4976,6437,0,"@SouthwestAir though I work for another major airline,  I LOVE your Black history month commercial. I Thank you.",19
4978,6439,0,@SouthwestAir Black History Commercial is really sweet. Well done.,9
4982,6443,0,@SouthwestAir much respect!,3
4984,6446,0,@SouthwestAir Thank you!  #thankful #feelingtheluv,6
4988,6450,0,@SouthwestAir I got it added thank you! :),8
4989,6451,0,"@SouthwestAir Great, thank you. Best of luck dealing with this horrible winter.",12
4990,6452,0,@SouthwestAir thank you :-),4
4997,6461,0,@SouthwestAir Thanks for taking care of me Today!  Michele rocked the customer service! Gate 25 HOU,17
4999,6463,0,@SouthwestAir I did. Thank you.,5
5002,6466,0,"Despite Mother Nature's best efforts, @SouthwestAir's good-humored folks got us home safely in an area heavily affected by winter storms.",20
5009,6474,0,@SouthwestAir Awesome - thanks!,4
5012,6478,0,"@SouthwestAir really appreciate the follow up, I always fly with y'all for a reason!",14
5013,6479,0,@SouthwestAir All pieces were found and safely delivered to our home this afternoon.,13
5021,6488,0,@SouthwestAir El Paso deals....May❤❤❤😍🌏,4
5028,6496,0,@SouthwestAir Thanks. I'll keep checking. I'm trying to book our first Disney World vacation.,14
5031,6499,0,@SouthwestAir Thank you. I know ya'll can't control the weather. I appreciate ya'll working to get my flight rebooked the last two days.,23
5033,6502,0,@SouthwestAir About time...and just in time for my next flight Thursday.,11
5040,6511,0,@SouthwestAir No worries at all!!! I would rather be safe on the ground than take any chances. Yes! Tomorrow AM if BNA reopens ☺️,24
5042,6513,0,@southwestair #fattuesday Great job celebrating #mardigras today at Atlanta Airport. Another reason I'm nuts for you! http://t.co/8WBzOrRn3C,17
5044,6516,0,@SouthwestAir Awwweesssooomee!,2
5049,6525,0,@SouthwestAir Amazing customer service as well. Will definitely fly with you guys again if my instrument is involved. #10/10,19
5050,6527,0,"@SouthwestAir your social media team just said ""sorry"". Thankfully submitting a complaint got resolution from an amazing rep who called.",20
5053,6531,0,@SouthwestAir knows whats up! That #BlackHistoryMonth commercial. Just another thing to add to reasons why I fly with #SouthWestAirlines,19
5058,6539,0,@SouthwestAir your employees were great!,5
5060,6542,0,"@SouthwestAir thanks for the reply, something is off with the phones becuz after 2 dropped calls at 2 hours on hold, I got through on 1 ring",27
5061,6543,0,@SouthwestAir Thank you for the vouchers after the long wait on the runway Saturday night at BWI! I really appreciate it! #SWfan,22
5062,6545,0,@SouthwestAir JH thank you. I finally got through the second time.,11
5066,6549,0,"@SouthwestAir haha, thanks for the explanation",6
5073,6558,0,"@SouthwestAir been with my GF for 2.5yrs, she's from SF &amp; I live in Tulsa. SWA always takes me there to see my love! #SouthwestLuvSweeps",25
5076,6563,0,@SouthwestAir Sent. Thanks VP!,4
5080,6569,0,@SouthwestAir Thank you so much for stepping up your game and making my day after night of elevator music. Much appreciated.,21
5083,6572,0,@SouthwestAir - just talking to customer service @united makes me appreciate you even more!  They could learn so much from you!,22
5085,6575,0,@SouthwestAir Thanks for the response. Was able to get my situation resolved. Not a fan of Mother Nature today. :),20
5087,6579,0,@SouthwestAir thanks I think we've got it figured out,9
5090,6583,0,"@SouthwestAir I got a flight at 11:55am on Thursday but looking for something tomorrow, anything available?",16
5091,6588,0,@SouthwestAir got it squared away. Thank you. I had a man on the inside help me out!,17
5098,6597,0,"@SouthwestAir Another great flight &amp; crew, Las Vegas-Chicago #3397. Thanks!",10
5103,6602,0,@SouthwestAir finally got through. Thanks!,5
5106,6605,0,"@SouthwestAir thanks, got put on the am flight tomorrow.  Don't have much faith it'll get off the ground tomorrow though.",21
5112,6611,0,@SouthwestAir @PaytonTaylor129 I love Southwest and Payton Taylor!,8
5117,6618,0,@SouthwestAir no worries. You're doing the best u can. Already Cancelled Flighted my biz trip. Still $LUV you! -RR 1079871763,20
5122,6624,0,@SouthwestAir no worries. We got thru eventually. I was just curious. Best of luck to you dealing with the weather!,20
5134,6636,0,@SouthwestAir yes. Thank you. Oct 25-oct 31,7
5141,6647,0,@SouthwestAir always when I fly SW. #loyalRRmember,7
5142,6648,0,"@SouthwestAir thank you, someone finally answered and was able to change my flight that was Cancelled Flighted bc of ice. Thank you for response",24
5145,6651,0,@SouthwestAir Thanks a ton!,4
5146,6652,0,@SouthwestAir LUV Ya Too!!!!  I will sing a song for y'all when I finally get on that plane back to Nashville!!! #LOVESOUTHWESTAIR,23
5147,6656,0,@SouthwestAir is having a sale! I'm delighted!,7
5148,6657,0,@SouthwestAir about time! Thank you!,5
5149,6658,0,@SouthwestAir Finally! Integration w/ passbook is a great Valentine gift - better then chocoLate Flight. You do heart me.,19
5150,6660,0,@SouthwestAir you guys are awesome... #dontchangeathing #luv,7
5151,6661,0,@SouthwestAir Karen with customer service was very helpful. Thank you for providing one bright spot in a frustrating situation.,19
5159,6672,0,@SouthwestAir and thanks!,3
5160,6674,0,"@SouthwestAir its all good. flight eventually took off, and landed safely. oh, and I got the free cup o wine. thx",21
5163,6680,0,.@SouthwestAir you've got a mess here at DTW but your staff is doing great.,14
5165,6682,0,@SouthwestAir Great job with the Passbook integration! It’ll really help streamline the commute to San Fran! 😊☕📲✈,17
5168,6685,0,@SouthwestAir Great job!! Looking forward to my next trip being able to use this new feature!,16
5183,6708,0,@SouthwestAir  Thank you.,4
5188,6713,0,@SouthwestAir + @twitter  = outstanding customer service!  Thank you!,11
5189,6714,0,@SouthwestAir finally!,2
5194,6723,0,"@SouthwestAir Beautiful, thanks a ton!",5
5203,6733,0,@SouthwestAir thanks do yall expect to be operational tomorrow out of Nashville?,12
5211,6743,0,@SouthwestAir nice work on the update!,6
5214,6746,0,"@JetBlue Yesterday on my way from EWR to FLL just after take-off. :)
#wheelsup #JetBlueSoFly http://t.co/9xkiy0Kq2j",15
5222,6759,0,@JetBlue thank you for the information.,6
5228,6771,0,@JetBlue great.,2
5229,6772,0,@JetBlue thanks great recap. I wouldn't have been able to sleep!  I was nervous the bad guy was getting away. 😉,22
5230,6774,0,@JetBlue flight 117. proud to fly Jet Blue!,8
5231,6775,0,"@JetBlue awesome, thanks! on hold now.",6
5236,6782,0,"@JetBlue what are the chances of actually flying out of Charleston today?? Cold, rainy weather in the south of all places...",21
5237,6783,0,@JetBlue I did see that! Working on picking up a trip or two as we type.,16
5239,6785,0,@JetBlue Thanks for the quick reply! Just wanted to make sure it wasn't just my account :),17
5243,6789,0,@JetBlue wouldn't mind paying for the snacks but no $ for tix :-) Great job guys!,16
5245,6800,0,@JetBlue here you go... Your napkins pretty much say it all! http://t.co/OxY1Jnpjm3,12
5246,6802,0,"“@JetBlue: @Ruth_Slobodin Why not? We'd sure love to see you, Ruth! #JustDoIt #YouKnowYouWantTo ;)” you know me too well 💘",20
5247,6805,0,"@JetBlue you don't need to cut services, charge more and give a better flying experience. That's why I use jet blue in the first place",25
5248,6806,0,@JetBlue Longing to look into the blue eyes. #firstlove,9
5249,6807,0,@JetBlue you all are the best #flyfi # ondemand #leatherseats #hipunis #legroom,12
5250,6811,0,"@eatgregeat WOW~Thx for thinking of us, Greg! Heard #SOBEWFF was amazing! We've heard the same about @JetBlue (ps thx for the info) #TeamNKH",23
5251,6812,0,"@JetBlue Annnndddd, I just booked my flight. That was easy.",10
5253,6815,0,@JetBlue Thank you very much!,5
5255,6817,0,@JetBlue it will be glowing. Your crew and your aircraft sparkled. You guys know about @nokidhungry right? Might be a good partnership:),22
5256,6820,0,@JetBlue glad you like it. Feel free to steal it.,10
5257,6821,0,@JetBlue your blue helped bring out the color of my eyes. And I promise I didn't eat all the free snacks.,21
5258,6822,0,@JetBlue thanks to you customers like me stay loyal. From check in to landing.,14
5259,6823,0,@JetBlue A320 pulling into the gate as the sunrises here at @BostonLogan this morning #jetbluesofly #jetblue #airbus http://t.co/JGdu5us8Dz,18
5260,6824,0,@JetBlue Thx for the quick response .... yep I tried- but it can't find the flight when I Input the Confirmation #,22
